parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75231028,"Snowpea, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75231028,"Snowpea, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75231028,"Snowpea, cooked, from fresh, made with margarine",11301,"Peas, edible-podded, boiled, drained, without salt",160
75233001,"Squash, summer, yellow or green, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75233001,"Squash, summer, yellow or green, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75233001,"Squash, summer, yellow or green, cooked, from fresh, NS as to fat added in cooking",11642,"Squash, summer, all varieties, cooked, boiled, drained, without salt",180
75233029,"Squash, summer, yellow or green, cooked, from fresh, made with margarine",2047,"Salt, table",1
75233029,"Squash, summer, yellow or green, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75233029,"Squash, summer, yellow or green, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75233029,"Squash, summer, yellow or green, cooked, from fresh, made with margarine",11642,"Squash, summer, all varieties, cooked, boiled, drained, without salt",180
75234001,"Turnip, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75234001,"Turnip, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75234001,"Turnip, cooked, from fresh, NS as to fat added in cooking",11565,"Turnips, cooked, boiled, drained, without salt",156
75234011,"Turnip, cooked, from fresh, fat not added in cooking",2047,"Salt, table",1
75234011,"Turnip, cooked, from fresh, fat not added in cooking",11565,"Turnips, cooked, boiled, drained, without salt",156
75234027,"Turnip, cooked, from fresh, made with oil",2047,"Salt, table",1
75234027,"Turnip, cooked, from fresh, made with oil",4322,"Vegetable oil, averaged",4.542
75234027,"Turnip, cooked, from fresh, made with oil",11565,"Turnips, cooked, boiled, drained, without salt",156
75234028,"Turnip, cooked, from fresh, made with butter",1001,"Butter, salted",4.729
75234028,"Turnip, cooked, from fresh, made with butter",2047,"Salt, table",1
